flight_ID,scheduled_flt_time,actual_flt_time,BGATE_ID
CZ3957,2016/9/14 23:05:00,,B01
MU3636,2016/9/14 22:45:00,,B03
MF4384,2016/9/14 22:45:00,,B03
CZ6748,2016/9/14 22:45:00,,B03
MU4470,2016/9/14 23:05:00,,B01
BK2787,2016/9/14 22:55:00,,A18
AQ1025,2016/9/14 22:55:00,,B902
MU3974,2016/9/14 23:00:00,,A13
HO1288,2016/9/14 23:00:00,,A13
MU3572,2016/9/14 22:55:00,,B07
CZ3399,2016/9/14 22:55:00,,B07
MF1279,2016/9/14 22:55:00,,B07
JD5161,2016/9/14 22:50:00,,B17
JD5631,2016/9/14 22:35:00,,B15
MU2621,2016/9/14 22:50:00,,B18
UL881,2016/9/14 22:35:00,,A104
9C8930,2016/9/14 22:45:00,,A16
AQ1021,2016/9/14 22:45:00,,B909
HO1078,2016/9/14 22:40:00,,A15
MU2324,2016/9/14 22:40:00,,B16
CZ9601,2016/9/14 22:40:00,,B16
Y87992,2016/9/14 21:55:00,,
MF1207,2016/9/14 22:40:00,,B907
CZ3323,2016/9/14 22:40:00,,B907
MU4494,2016/9/14 22:40:00,,B907
MU5754,2016/9/14 22:30:00,,B14
AQ1055,2016/9/14 22:25:00,,B905
9C8513,2016/9/14 22:25:00,,A14
HU7012,2016/9/14 22:25:00,,B13
AQ1105,2016/9/14 22:00:00,,B901
KY9613,2016/9/14 22:20:00,,A13
ZH9613,2016/9/14 22:20:00,,A13
CA3759,2016/9/14 22:20:00,,A13
AQ1109,2016/9/14 22:15:00,,B903
EY940,2016/9/14 21:15:00,,
ZZUTP2330,2016/9/14 21:00:00,,
NN806,2016/9/14 20:05:00,,A109
QR8941,2016/9/14 19:25:00,,
FX5279,2016/9/14 21:00:00,,
O36872,2016/9/14 19:25:00,,
LH8415,2016/9/14 21:05:00,,
FX5775,2016/9/14 20:30:00,,
Y87928,2016/9/14 20:30:00,,
FX5030,2016/9/14 20:50:00,,
FX5158,2016/9/14 20:15:00,,
FX6019,2016/9/14 19:55:00,,
FX5926,2016/9/14 20:10:00,,
FX5194,2016/9/14 20:00:00,,
KE320,2016/9/14 20:00:00,,
BK3024,2016/9/14 20:15:00,,
FX6028,2016/9/14 19:35:00,,
FX6159,2016/9/14 19:30:00,,
Y87983,2016/9/14 20:15:00,,
FX5419,2016/9/14 19:20:00,,
TZ127,2016/9/14 19:45:00,,A106
CI5896,2016/9/14 18:35:00,,
FX5152,2016/9/14 19:25:00,,
NH8490,2016/9/14 18:30:00,,
FX5608,2016/9/14 18:50:00,,
ET3607,2016/9/14 18:35:00,,
AK1395,2016/9/14 19:00:00,,A103
SL8041,2016/9/14 18:45:00,,A104
TK6525,2016/9/14 18:40:00,,
FD416,2016/9/14 18:50:00,,A109
OZ358,2016/9/14 17:15:00,,A102
CZ8705,2016/9/14 17:30:00,,
CZ399,2016/9/14 17:40:00,,A105
AK119,2016/9/14 17:15:00,,A104
VA5658,2016/9/14 17:20:00,,A106
SQ853,2016/9/14 17:20:00,,A106
QR875,2016/9/14 16:55:00,,A117
ET607,2016/9/14 16:30:00,,A01
KL4403,2016/9/14 16:30:00,,A103
CZ305,2016/9/14 16:30:00,,A103
HU7810,2016/9/14 13:55:00,,B229
S74692,2016/9/14 13:55:00,,B229
CZ6053,2016/9/14 15:55:00,,A123
AK1530,2016/9/14 16:10:00,,A104
AF4403,2016/9/14 16:20:00,,A118
CZ347,2016/9/14 16:20:00,,A118
ZH9031,2016/9/14 15:50:00,,A102
FD531,2016/9/14 15:55:00,,A101
EK363,2016/9/14 15:55:00,,A106
KL4300,2016/9/14 16:05:00,,A05
CZ307,2016/9/14 16:05:00,,A05
CA1089,2016/9/14 16:15:00,,
W5080,2016/9/14 15:30:00,,A02
CZ457,2016/9/14 15:45:00,,
HU7004,2016/9/14 15:50:00,,B17
JD5159,2016/9/14 15:25:00,,B16
MS959,2016/9/14 15:20:00,,A03
PN6320,2016/9/14 15:40:00,,B230
TK73,2016/9/14 15:00:00,,A110
MU3646,2016/9/14 15:35:00,,B210
MF4374,2016/9/14 15:35:00,,B210
CZ6734,2016/9/14 15:35:00,,B210
CZ3176,2016/9/14 13:35:00,,B02
CZ3107,2016/9/14 13:00:00,,B221
MF1009,2016/9/14 13:00:00,,B221
KL4453,2016/9/14 13:00:00,,B221
MU3111,2016/9/14 13:00:00,,B221
MU2908,2016/9/14 15:10:00,,B14
CZ9607,2016/9/14 15:10:00,,B14
AF3895,2016/9/14 15:15:00,,B208
CZ6778,2016/9/14 15:15:00,,B208
MU3468,2016/9/14 15:15:00,,B208
MF4409,2016/9/14 15:15:00,,B208
MU2304,2016/9/14 14:50:00,,B13
CZ9603,2016/9/14 14:50:00,,B13
PN6206,2016/9/14 15:05:00,,B233
AF107,2016/9/14 15:05:00,,A109
CZ783,2016/9/14 15:05:00,,A109
KL2194,2016/9/14 15:05:00,,A109
CZ8126,2016/9/14 14:00:00,,B07
OQ2326,2016/9/14 14:00:00,,B07
ZH1366,2016/9/14 12:30:00,,A124
MF4376,2016/9/14 14:50:00,,B04
CZ6736,2016/9/14 14:50:00,,B04
HU7802,2016/9/14 12:15:00,,B231
CA1366,2016/9/14 12:30:00,,A124
MU3644,2016/9/14 14:50:00,,B04
CZ3381,2016/9/14 15:00:00,,B219
MF1263,2016/9/14 15:00:00,,B219
MU4500,2016/9/14 15:00:00,,B219
ZH1866,2016/9/14 13:00:00,,A129
CA1866,2016/9/14 13:00:00,,A129
CZ6462,2016/9/14 14:10:00,,B01
5J289,2016/9/14 14:15:00,,A102
3U8664,2016/9/14 14:30:00,,B15
HU7002,2016/9/14 14:35:00,,B16
CZ3390,2016/9/14 13:40:00,2016/9/14 14:57:00,B03
MF9047,2016/9/14 14:45:00,2016/9/14 14:54:00,A120
CZ6057,2016/9/14 14:45:00,2016/9/14 14:54:00,A120
MF9001,2016/9/14 14:15:00,2016/9/14 14:48:00,A122
CZ371,2016/9/14 14:15:00,2016/9/14 14:48:00,A122
KA789,2016/9/14 14:20:00,2016/9/14 14:45:00,A104
CX5789,2016/9/14 14:20:00,2016/9/14 14:45:00,A104
JD5269,2016/9/14 14:20:00,2016/9/14 14:43:00,B18
CZ6780,2016/9/14 14:30:00,2016/9/14 14:42:00,B217
MF4411,2016/9/14 14:30:00,2016/9/14 14:42:00,B217
MU3466,2016/9/14 14:30:00,2016/9/14 14:42:00,B217
QF336,2016/9/14 14:00:00,2016/9/14 14:39:00,A04
KQ5212,2016/9/14 14:00:00,2016/9/14 14:39:00,A04
KL4435,2016/9/14 14:00:00,2016/9/14 14:39:00,A04
CZ319,2016/9/14 14:00:00,2016/9/14 14:39:00,A04
CA3757,2016/9/14 14:05:00,2016/9/14 14:37:00,A130
ZH9609,2016/9/14 14:05:00,2016/9/14 14:37:00,A130
KY9609,2016/9/14 14:05:00,2016/9/14 14:37:00,A130
KQ887,2016/9/14 14:10:00,2016/9/14 14:34:00,A05
AK117,2016/9/14 12:50:00,2016/9/14 14:32:00,A108
CZ9661,2016/9/14 14:10:00,2016/9/14 14:23:00,B17
MU5772,2016/9/14 14:10:00,2016/9/14 14:23:00,B17
MF3228,2016/9/14 14:10:00,2016/9/14 14:23:00,B17
CZ3367,2016/9/14 14:05:00,2016/9/14 14:21:00,B03
MF1249,2016/9/14 14:05:00,2016/9/14 14:21:00,B03
AF9725,2016/9/14 14:05:00,2016/9/14 14:21:00,B03
MU4429,2016/9/14 14:05:00,2016/9/14 14:21:00,B03
VN549,2016/9/14 14:15:00,2016/9/14 14:20:00,A101
9C8932,2016/9/14 13:10:00,2016/9/14 14:18:00,A15
RJ181,2016/9/14 14:05:00,2016/9/14 14:17:00,A116
CZ657,2016/9/14 14:05:00,2016/9/14 14:14:00,A02
MU4407,2016/9/14 13:55:00,2016/9/14 14:11:00,B04
AF3430,2016/9/14 13:55:00,2016/9/14 14:11:00,B04
CZ3769,2016/9/14 13:55:00,2016/9/14 14:11:00,B04
MF1635,2016/9/14 13:55:00,2016/9/14 14:11:00,B04
3U8742,2016/9/14 13:55:00,2016/9/14 14:10:00,B234
CZ5986,2016/9/14 13:55:00,2016/9/14 14:10:00,B234
MU5232,2016/9/14 13:50:00,2016/9/14 14:08:00,B235
CZ9645,2016/9/14 13:50:00,2016/9/14 14:08:00,B235
ZH9650,2016/9/14 13:05:00,2016/9/14 14:07:00,A133
MU3099,2016/9/14 12:00:00,2016/9/14 14:05:00,B220
CZ3161,2016/9/14 12:00:00,2016/9/14 14:05:00,B220
MF1061,2016/9/14 12:00:00,2016/9/14 14:05:00,B220
MF1744,2016/9/14 13:40:00,2016/9/14 14:02:00,B208
AF3894,2016/9/14 13:40:00,2016/9/14 14:02:00,B208
CZ3886,2016/9/14 13:40:00,2016/9/14 14:02:00,B208
HU7010,2016/9/14 14:00:00,2016/9/14 14:02:00,B224
MU4475,2016/9/14 13:40:00,2016/9/14 14:02:00,B208
CZ645,2016/9/14 13:35:00,2016/9/14 14:00:00,"A11,B207"
CZ5982,2016/9/14 13:40:00,2016/9/14 13:59:00,B14
3U8736,2016/9/14 13:40:00,2016/9/14 13:59:00,B14
MF1188,2016/9/14 13:50:00,2016/9/14 13:57:00,B02
CZ331,2016/9/14 13:35:00,2016/9/14 13:57:00,"A10,B204"
CZ3298,2016/9/14 13:50:00,2016/9/14 13:57:00,B02
MU3605,2016/9/14 13:50:00,2016/9/14 13:57:00,B02
FM9318,2016/9/14 13:30:00,2016/9/14 13:55:00,B232
MU5320,2016/9/14 11:55:00,2016/9/14 13:52:00,B230
CZ3419,2016/9/14 13:45:00,2016/9/14 13:46:00,B210
MU3540,2016/9/14 13:45:00,2016/9/14 13:46:00,B210
MF1299,2016/9/14 13:45:00,2016/9/14 13:46:00,B210
CZ327,2016/9/14 13:30:00,2016/9/14 13:44:00,A106
DL7830,2016/9/14 13:30:00,2016/9/14 13:44:00,A106
KL4409,2016/9/14 13:15:00,2016/9/14 13:41:00,A103
CZ381,2016/9/14 13:15:00,2016/9/14 13:41:00,A103
QF334,2016/9/14 13:15:00,2016/9/14 13:41:00,A103
AF4417,2016/9/14 13:15:00,2016/9/14 13:41:00,A103
FM9316,2016/9/14 12:30:00,2016/9/14 13:41:00,B233
KY9625,2016/9/14 13:25:00,2016/9/14 13:39:00,A125
CA3371,2016/9/14 13:25:00,2016/9/14 13:39:00,A125
ZH9625,2016/9/14 13:25:00,2016/9/14 13:39:00,A125
CZ323,2016/9/14 13:30:00,2016/9/14 13:38:00,A115
CZ6788,2016/9/14 13:20:00,2016/9/14 13:35:00,B08
KN5822,2016/9/14 13:15:00,2016/9/14 13:35:00,B13
CZ325,2016/9/14 13:05:00,2016/9/14 13:32:00,A105
AF9738,2016/9/14 13:05:00,2016/9/14 13:32:00,A105
KQ5210,2016/9/14 13:05:00,2016/9/14 13:32:00,A105
QF328,2016/9/14 13:05:00,2016/9/14 13:32:00,A105
ZH9552,2016/9/14 13:15:00,2016/9/14 13:32:00,A131
CA3437,2016/9/14 13:15:00,2016/9/14 13:32:00,A131
KY9552,2016/9/14 13:15:00,2016/9/14 13:32:00,A131
CF9035,2016/9/14 13:10:00,2016/9/14 13:29:00,
MF1007,2016/9/14 11:00:00,2016/9/14 13:26:00,B222
MF1259,2016/9/14 13:10:00,2016/9/14 13:26:00,B202
AF3891,2016/9/14 13:10:00,2016/9/14 13:26:00,B202
CZ3105,2016/9/14 11:00:00,2016/9/14 13:26:00,B222
MU3344,2016/9/14 13:10:00,2016/9/14 13:26:00,B202
MU3113,2016/9/14 11:00:00,2016/9/14 13:26:00,B222
CZ3377,2016/9/14 13:10:00,2016/9/14 13:26:00,B202
3U3003,2016/9/14 13:10:00,2016/9/14 13:26:00,B202
CZ3871,2016/9/14 13:10:00,2016/9/14 13:21:00,B03
MU3584,2016/9/14 13:10:00,2016/9/14 13:21:00,B03
MF1729,2016/9/14 13:10:00,2016/9/14 13:21:00,B03
ZH9611,2016/9/14 13:15:00,2016/9/14 13:20:00,A127
KY9611,2016/9/14 13:15:00,2016/9/14 13:20:00,A127
CA3680,2016/9/14 13:15:00,2016/9/14 13:20:00,A127
TG679,2016/9/14 13:00:00,2016/9/14 13:17:00,A104
PG4836,2016/9/14 13:00:00,2016/9/14 13:17:00,A104
CZ6468,2016/9/14 13:05:00,2016/9/14 13:13:00,B201
AF9722,2016/9/14 13:00:00,2016/9/14 13:11:00,A118
KQ5216,2016/9/14 13:00:00,2016/9/14 13:11:00,A118
QF330,2016/9/14 13:00:00,2016/9/14 13:11:00,A118
CZ321,2016/9/14 13:00:00,2016/9/14 13:11:00,A118
KL4341,2016/9/14 13:00:00,2016/9/14 13:11:00,A118
MF9014,2016/9/14 5:35:00,2016/9/14 13:09:00,"A05,B04"
CZ362,2016/9/14 5:35:00,2016/9/14 13:09:00,"A05,B04"
MF8326,2016/9/14 12:55:00,2016/9/14 13:04:00,B217
CZ5232,2016/9/14 12:55:00,2016/9/14 13:04:00,B217
CZ3082,2016/9/14 12:50:00,2016/9/14 13:03:00,"A01,B01"
AF3892,2016/9/14 12:50:00,2016/9/14 13:03:00,"A01,B01"
CZ3337,2016/9/14 12:55:00,2016/9/14 13:02:00,B908
MF1221,2016/9/14 12:55:00,2016/9/14 13:02:00,B908
MU3568,2016/9/14 12:55:00,2016/9/14 13:02:00,B908
CZ3439,2016/9/14 12:55:00,2016/9/14 13:01:00,B09
3U3025,2016/9/14 12:55:00,2016/9/14 13:01:00,B09
ZH1302,2016/9/14 11:30:00,2016/9/14 12:59:00,A128
CA1302,2016/9/14 11:30:00,2016/9/14 12:59:00,A128
MF1109,2016/9/14 12:50:00,2016/9/14 12:58:00,B07
MU4441,2016/9/14 12:50:00,2016/9/14 12:58:00,B07
CZ3215,2016/9/14 12:50:00,2016/9/14 12:58:00,B07
FM9314,2016/9/14 11:30:00,2016/9/14 12:52:00,B229
MU9314,2016/9/14 11:30:00,2016/9/14 12:52:00,B229
ZH4304,2016/9/14 12:25:00,2016/9/14 12:51:00,A132
CA4304,2016/9/14 12:25:00,2016/9/14 12:51:00,A132
SC4304,2016/9/14 12:25:00,2016/9/14 12:51:00,A132
CZ3715,2016/9/14 12:40:00,2016/9/14 12:49:00,B904
MU3629,2016/9/14 12:40:00,2016/9/14 12:49:00,B904
MF1583,2016/9/14 12:40:00,2016/9/14 12:49:00,B904
KY9623,2016/9/14 12:20:00,2016/9/14 12:47:00,A14
ZH9623,2016/9/14 12:20:00,2016/9/14 12:47:00,A14
CA3667,2016/9/14 12:20:00,2016/9/14 12:47:00,A14
MF4386,2016/9/14 12:30:00,2016/9/14 12:43:00,B219
CZ6750,2016/9/14 12:30:00,2016/9/14 12:43:00,B219
MU3634,2016/9/14 12:30:00,2016/9/14 12:43:00,B219
MU3472,2016/9/14 12:40:00,2016/9/14 12:39:00,B215
MF4405,2016/9/14 12:40:00,2016/9/14 12:39:00,B215
CZ6774,2016/9/14 12:40:00,2016/9/14 12:39:00,B215
CZ3595,2016/9/14 12:00:00,2016/9/14 12:37:00,B09
MF1479,2016/9/14 12:00:00,2016/9/14 12:37:00,B09
MU3653,2016/9/14 12:00:00,2016/9/14 12:37:00,B09
AF3413,2016/9/14 12:20:00,2016/9/14 12:31:00,B223
CZ3388,2016/9/14 12:20:00,2016/9/14 12:31:00,B223
CA1172,2016/9/14 12:10:00,2016/9/14 12:29:00,A13
SC1172,2016/9/14 12:10:00,2016/9/14 12:29:00,A13
MU4519,2016/9/14 12:20:00,2016/9/14 12:27:00,B906
CZ3317,2016/9/14 12:20:00,2016/9/14 12:27:00,B906
MF4043,2016/9/14 12:20:00,2016/9/14 12:27:00,B906
CZ9678,2016/9/14 12:15:00,2016/9/14 12:26:00,B234
MU5218,2016/9/14 12:15:00,2016/9/14 12:26:00,B234
SC4676,2016/9/14 12:15:00,2016/9/14 12:25:00,A16
CA4676,2016/9/14 12:15:00,2016/9/14 12:25:00,A16
CZ367,2016/9/14 12:15:00,2016/9/14 12:24:00,A02
VN3501,2016/9/14 12:15:00,2016/9/14 12:24:00,A02
MU2306,2016/9/14 11:50:00,2016/9/14 12:21:00,B228
CZ9599,2016/9/14 11:50:00,2016/9/14 12:21:00,B228
MU2541,2016/9/14 12:05:00,2016/9/14 12:18:00,B13
CZ3077,2016/9/14 12:00:00,2016/9/14 12:17:00,A122
CZ6302,2016/9/14 12:10:00,2016/9/14 12:15:00,B211
AF3410,2016/9/14 12:10:00,2016/9/14 12:15:00,B211
MF4014,2016/9/14 12:10:00,2016/9/14 12:15:00,B211
MU3676,2016/9/14 12:10:00,2016/9/14 12:15:00,B211
FM9356,2016/9/14 12:05:00,2016/9/14 12:14:00,B226
MU9356,2016/9/14 12:05:00,2016/9/14 12:14:00,B226
CZ3819,2016/9/14 11:55:00,2016/9/14 12:10:00,B901
MU3484,2016/9/14 11:55:00,2016/9/14 12:10:00,B901
MF1679,2016/9/14 11:55:00,2016/9/14 12:10:00,B901
CZ361,2016/9/14 12:10:00,2016/9/14 12:08:00,A121
MF9013,2016/9/14 12:10:00,2016/9/14 12:08:00,A121
CZ3067,2016/9/14 12:00:00,2016/9/14 12:06:00,A114
HU7858,2016/9/14 11:55:00,2016/9/14 12:02:00,B224
MF1777,2016/9/14 11:35:00,2016/9/14 11:59:00,B213
MU4401,2016/9/14 11:35:00,2016/9/14 11:59:00,B213
CZ3921,2016/9/14 11:35:00,2016/9/14 11:59:00,B213
AF3412,2016/9/14 11:40:00,2016/9/14 11:57:00,B221
QF3621,2016/9/14 11:40:00,2016/9/14 11:57:00,B221
CZ3647,2016/9/14 11:40:00,2016/9/14 11:57:00,B221
MU3418,2016/9/14 11:40:00,2016/9/14 11:57:00,B221
MF1525,2016/9/14 11:40:00,2016/9/14 11:57:00,B221
CZ3207,2016/9/14 11:50:00,2016/9/14 11:56:00,B07
ZH9187,2016/9/14 11:40:00,2016/9/14 11:53:00,A15
KY9187,2016/9/14 11:40:00,2016/9/14 11:53:00,A15
CA3391,2016/9/14 11:40:00,2016/9/14 11:53:00,A15
MU3367,2016/9/14 11:35:00,2016/9/14 11:53:00,B08
MF1492,2016/9/14 11:35:00,2016/9/14 11:53:00,B08
CZ3608,2016/9/14 11:35:00,2016/9/14 11:53:00,B08
MF1511,2016/9/14 11:35:00,2016/9/14 11:52:00,B903
CZ3627,2016/9/14 11:35:00,2016/9/14 11:52:00,B903
MU3508,2016/9/14 11:35:00,2016/9/14 11:52:00,B903
MF9057,2016/9/14 11:10:00,2016/9/14 11:50:00,A123
CZ3005,2016/9/14 11:10:00,2016/9/14 11:50:00,A123
HU7202,2016/9/14 11:30:00,2016/9/14 11:47:00,B15
MU4418,2016/9/14 11:05:00,2016/9/14 11:47:00,B04
QF3627,2016/9/14 11:05:00,2016/9/14 11:47:00,B04
CZ6884,2016/9/14 11:05:00,2016/9/14 11:47:00,B04
MF4506,2016/9/14 11:05:00,2016/9/14 11:47:00,B04
MF4474,2016/9/14 11:30:00,2016/9/14 11:46:00,B212
CZ6852,2016/9/14 11:30:00,2016/9/14 11:46:00,B212
MU3281,2016/9/14 11:30:00,2016/9/14 11:46:00,B212
MF4378,2016/9/14 11:25:00,2016/9/14 11:44:00,B907
CZ6738,2016/9/14 11:25:00,2016/9/14 11:44:00,B907
MU3642,2016/9/14 11:25:00,2016/9/14 11:44:00,B907
CZ5284,2016/9/14 11:20:00,2016/9/14 11:41:00,B208
MF8382,2016/9/14 11:20:00,2016/9/14 11:41:00,B208
HU7322,2016/9/14 11:25:00,2016/9/14 11:41:00,B232
CZ6792,2016/9/14 11:25:00,2016/9/14 11:40:00,B202
MF1365,2016/9/14 11:20:00,2016/9/14 11:37:00,B02
MU4518,2016/9/14 11:20:00,2016/9/14 11:37:00,B02
CZ3485,2016/9/14 11:20:00,2016/9/14 11:37:00,B02
3U3027,2016/9/14 11:20:00,2016/9/14 11:37:00,B02
AF9730,2016/9/14 11:20:00,2016/9/14 11:37:00,B02
CZ359,2016/9/14 10:50:00,2016/9/14 11:36:00,A02
CA1726,2016/9/14 10:45:00,2016/9/14 11:35:00,A130
ZH1726,2016/9/14 10:45:00,2016/9/14 11:35:00,A130
CZ6296,2016/9/14 11:05:00,2016/9/14 11:35:00,B01
MF4010,2016/9/14 11:05:00,2016/9/14 11:35:00,B01
MU3435,2016/9/14 11:05:00,2016/9/14 11:35:00,B01
AF3431,2016/9/14 11:15:00,2016/9/14 11:33:00,B904
CZ3321,2016/9/14 11:15:00,2016/9/14 11:33:00,B904
MF1205,2016/9/14 11:15:00,2016/9/14 11:33:00,B904
MU4496,2016/9/14 11:15:00,2016/9/14 11:33:00,B904
ZH9645,2016/9/14 11:15:00,2016/9/14 11:31:00,A125
CA3385,2016/9/14 11:15:00,2016/9/14 11:31:00,A125
KY9645,2016/9/14 11:15:00,2016/9/14 11:31:00,A125
NH6603,2016/9/14 11:15:00,2016/9/14 11:31:00,A125
CA1388,2016/9/14 11:10:00,2016/9/14 11:29:00,A131
SC1388,2016/9/14 11:10:00,2016/9/14 11:29:00,A131
ZH1388,2016/9/14 11:10:00,2016/9/14 11:29:00,A131
CZ383,2016/9/14 11:00:00,2016/9/14 11:27:00,A116
KQ5207,2016/9/14 11:00:00,2016/9/14 11:27:00,A116
MU4472,2016/9/14 11:15:00,2016/9/14 11:24:00,B217
AF3435,2016/9/14 11:15:00,2016/9/14 11:24:00,B217
MF1201,2016/9/14 11:15:00,2016/9/14 11:24:00,B217
CZ3311,2016/9/14 11:15:00,2016/9/14 11:24:00,B217
CA3803,2016/9/14 11:05:00,2016/9/14 11:23:00,A126
KY9577,2016/9/14 11:05:00,2016/9/14 11:23:00,A126
ZH9577,2016/9/14 11:05:00,2016/9/14 11:23:00,A126
MU3456,2016/9/14 11:05:00,2016/9/14 11:22:00,B219
MF1507,2016/9/14 11:05:00,2016/9/14 11:22:00,B219
CZ3623,2016/9/14 11:05:00,2016/9/14 11:22:00,B219
ZH9627,2016/9/14 10:25:00,2016/9/14 11:21:00,A17
KY9627,2016/9/14 10:25:00,2016/9/14 11:21:00,A17
CA3403,2016/9/14 10:25:00,2016/9/14 11:21:00,A17
ZH4342,2016/9/14 11:10:00,2016/9/14 11:20:00,A133
SC4342,2016/9/14 11:10:00,2016/9/14 11:20:00,A133
CA4342,2016/9/14 11:10:00,2016/9/14 11:20:00,A133
MU3107,2016/9/14 10:00:00,2016/9/14 11:18:00,B218
CZ3111,2016/9/14 10:00:00,2016/9/14 11:18:00,B218
MF1013,2016/9/14 10:00:00,2016/9/14 11:18:00,B218
MU3659,2016/9/14 11:00:00,2016/9/14 11:16:00,B03
MF1427,2016/9/14 11:00:00,2016/9/14 11:16:00,B03
CZ3547,2016/9/14 11:00:00,2016/9/14 11:16:00,B03
CA1328,2016/9/14 10:25:00,2016/9/14 11:15:00,A129
ZH1328,2016/9/14 10:25:00,2016/9/14 11:15:00,A129
CA4302,2016/9/14 9:30:00,2016/9/14 11:14:00,A14
ZH4302,2016/9/14 9:30:00,2016/9/14 11:14:00,A14
MU2475,2016/9/14 10:10:00,2016/9/14 11:12:00,B225
GS7271,2016/9/14 10:55:00,2016/9/14 11:11:00,B14
HU7271,2016/9/14 10:55:00,2016/9/14 11:11:00,B14
CZ9664,2016/9/14 10:55:00,2016/9/14 11:10:00,B13
MU5260,2016/9/14 10:55:00,2016/9/14 11:10:00,B13
CZ3545,2016/9/14 10:50:00,2016/9/14 11:08:00,B902
MU3576,2016/9/14 10:50:00,2016/9/14 11:08:00,B902
MF1425,2016/9/14 10:50:00,2016/9/14 11:08:00,B902
CZ3427,2016/9/14 10:55:00,2016/9/14 11:07:00,B210
MU3334,2016/9/14 10:55:00,2016/9/14 11:07:00,B210
MF1307,2016/9/14 10:55:00,2016/9/14 11:07:00,B210
3U3013,2016/9/14 10:55:00,2016/9/14 11:07:00,B210
ZH9605,2016/9/14 10:50:00,2016/9/14 11:05:00,A15
CA3698,2016/9/14 10:50:00,2016/9/14 11:05:00,A15
KY9605,2016/9/14 10:50:00,2016/9/14 11:05:00,A15
MU3324,2016/9/14 10:30:00,2016/9/14 11:04:00,B214
CZ3229,2016/9/14 10:30:00,2016/9/14 11:04:00,B214
MF1121,2016/9/14 10:30:00,2016/9/14 11:04:00,B214
AF9728,2016/9/14 10:45:00,2016/9/14 11:01:00,B08
MU3488,2016/9/14 10:45:00,2016/9/14 11:01:00,B08
MF1661,2016/9/14 10:45:00,2016/9/14 11:01:00,B08
CZ3801,2016/9/14 10:45:00,2016/9/14 11:01:00,B08
CZ8669,2016/9/14 10:50:00,2016/9/14 10:58:00,B906
KY9675,2016/9/14 10:35:00,2016/9/14 10:56:00,A13
ZH9675,2016/9/14 10:35:00,2016/9/14 10:56:00,A13
CA3700,2016/9/14 10:35:00,2016/9/14 10:56:00,A13
